WARNING  2019-10-04 02:58:04,922: Many workers - data center may refuse service (--download-workers 10)
DEFAULT  2019-10-04 02:58:06,570: ROVER version 1.0.4 - starting retrieve
DEFAULT  2019-10-04 02:58:06,570: Status available at http://127.0.0.1:8000
DEFAULT  2019-10-04 02:58:06,589: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-04 02:58:06,994: Downloading TA_109C 2014-060 (N_S 1/10; day 1/17)
DEFAULT  2019-10-04 02:58:07,000: Downloading TA_109C 2014-061 (N_S 1/10; day 2/17)
DEFAULT  2019-10-04 02:58:07,006: Downloading TA_109C 2014-062 (N_S 1/10; day 3/17)
DEFAULT  2019-10-04 02:58:07,021: Downloading TA_109C 2014-063 (N_S 1/10; day 4/17)
DEFAULT  2019-10-04 02:58:07,030: Downloading TA_109C 2014-064 (N_S 1/10; day 5/17)
DEFAULT  2019-10-04 02:58:07,037: Downloading TA_109C 2014-065 (N_S 1/10; day 6/17)
DEFAULT  2019-10-04 02:58:07,043: Downloading TA_109C 2014-066 (N_S 1/10; day 7/17)
DEFAULT  2019-10-04 02:58:07,050: Downloading TA_109C 2014-067 (N_S 1/10; day 8/17)
DEFAULT  2019-10-04 02:58:07,057: Downloading TA_109C 2014-068 (N_S 1/10; day 9/17)
DEFAULT  2019-10-04 02:58:07,064: Downloading TA_109C 2014-069 (N_S 1/10; day 10/17)
DEFAULT  2019-10-04 02:58:21,238: Downloading TA_109C 2014-070 (N_S 1/10; day 11/17)
DEFAULT  2019-10-04 02:58:21,245: Downloading TA_109C 2014-071 (N_S 1/10; day 12/17)
DEFAULT  2019-10-04 02:58:21,716: Downloading TA_109C 2014-072 (N_S 1/10; day 13/17)
DEFAULT  2019-10-04 02:58:21,830: Downloading TA_109C 2014-073 (N_S 1/10; day 14/17)
DEFAULT  2019-10-04 02:58:22,145: Downloading TA_109C 2014-074 (N_S 1/10; day 15/17)
DEFAULT  2019-10-04 02:58:22,257: Downloading TA_109C 2014-075 (N_S 1/10; day 16/17)
DEFAULT  2019-10-04 02:58:22,370: Downloading TA_109C 2014-076 (N_S 1/10; day 17/17)
DEFAULT  2019-10-04 02:58:23,869: Downloading TA_121A 2014-060 (N_S 2/10; day 1/17)
DEFAULT  2019-10-04 02:58:24,186: Downloading TA_121A 2014-061 (N_S 2/10; day 2/17)
DEFAULT  2019-10-04 02:58:24,299: Downloading TA_121A 2014-062 (N_S 2/10; day 3/17)
DEFAULT  2019-10-04 02:58:24,411: Downloading TA_121A 2014-063 (N_S 2/10; day 4/17)
DEFAULT  2019-10-04 02:58:33,903: Downloading TA_121A 2014-064 (N_S 2/10; day 5/17)
DEFAULT  2019-10-04 02:58:34,198: Downloading TA_121A 2014-065 (N_S 2/10; day 6/17)
DEFAULT  2019-10-04 02:58:34,205: Downloading TA_121A 2014-066 (N_S 2/10; day 7/17)
DEFAULT  2019-10-04 02:58:34,420: Downloading TA_121A 2014-067 (N_S 2/10; day 8/17)
DEFAULT  2019-10-04 02:58:36,240: Downloading TA_121A 2014-068 (N_S 2/10; day 9/17)
DEFAULT  2019-10-04 02:58:36,598: Downloading TA_121A 2014-069 (N_S 2/10; day 10/17)
DEFAULT  2019-10-04 02:58:36,711: Downloading TA_121A 2014-070 (N_S 2/10; day 11/17)
DEFAULT  2019-10-04 02:58:36,926: Downloading TA_121A 2014-071 (N_S 2/10; day 12/17)
DEFAULT  2019-10-04 02:58:37,039: Downloading TA_121A 2014-072 (N_S 2/10; day 13/17)
DEFAULT  2019-10-04 02:58:40,239: Downloading TA_121A 2014-073 (N_S 2/10; day 14/17)
DEFAULT  2019-10-04 02:58:43,383: Downloading TA_121A 2014-074 (N_S 2/10; day 15/17)
DEFAULT  2019-10-04 02:58:43,700: Downloading TA_121A 2014-075 (N_S 2/10; day 16/17)
DEFAULT  2019-10-04 02:58:44,314: Downloading TA_121A 2014-076 (N_S 2/10; day 17/17)
DEFAULT  2019-10-04 02:58:45,768: Downloading TA_157A 2014-060 (N_S 3/10; day 1/17)
DEFAULT  2019-10-04 02:58:46,186: Downloading TA_157A 2014-061 (N_S 3/10; day 2/17)
DEFAULT  2019-10-04 02:58:46,298: Downloading TA_157A 2014-062 (N_S 3/10; day 3/17)
DEFAULT  2019-10-04 02:58:46,624: Downloading TA_157A 2014-063 (N_S 3/10; day 4/17)
DEFAULT  2019-10-04 02:58:46,739: Downloading TA_157A 2014-064 (N_S 3/10; day 5/17)
DEFAULT  2019-10-04 02:58:46,746: Downloading TA_157A 2014-065 (N_S 3/10; day 6/17)
DEFAULT  2019-10-04 02:58:46,909: Downloading TA_157A 2014-066 (N_S 3/10; day 7/17)
DEFAULT  2019-10-04 02:58:47,329: Downloading TA_157A 2014-067 (N_S 3/10; day 8/17)
DEFAULT  2019-10-04 02:58:49,005: Downloading TA_157A 2014-068 (N_S 3/10; day 9/17)
DEFAULT  2019-10-04 02:58:49,688: Downloading TA_157A 2014-069 (N_S 3/10; day 10/17)
DEFAULT  2019-10-04 02:58:53,934: Downloading TA_157A 2014-070 (N_S 3/10; day 11/17)
DEFAULT  2019-10-04 02:58:54,149: Downloading TA_157A 2014-071 (N_S 3/10; day 12/17)
DEFAULT  2019-10-04 02:58:54,672: Downloading TA_157A 2014-072 (N_S 3/10; day 13/17)
DEFAULT  2019-10-04 02:58:54,784: Downloading TA_157A 2014-073 (N_S 3/10; day 14/17)
