WARNING  2019-10-04 03:13:27,020: Many workers - data center may refuse service (--download-workers 8)
DEFAULT  2019-10-04 03:13:28,728: ROVER version 1.0.4 - starting retrieve
DEFAULT  2019-10-04 03:13:28,729: Status available at http://127.0.0.1:8000
DEFAULT  2019-10-04 03:13:28,747: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-04 03:14:57,990: Downloading TA_158A 2014-066 (N_S 4/10; day 7/17)
DEFAULT  2019-10-04 03:14:58,612: Downloading TA_158A 2014-067 (N_S 4/10; day 8/17)
DEFAULT  2019-10-04 03:15:08,187: Downloading TA_158A 2014-068 (N_S 4/10; day 9/17)
DEFAULT  2019-10-04 03:15:08,727: Downloading TA_158A 2014-069 (N_S 4/10; day 10/17)
DEFAULT  2019-10-04 03:15:11,480: Downloading TA_158A 2014-070 (N_S 4/10; day 11/17)
DEFAULT  2019-10-04 03:15:14,288: Downloading TA_158A 2014-071 (N_S 4/10; day 12/17)
DEFAULT  2019-10-04 03:15:14,295: Downloading TA_158A 2014-072 (N_S 4/10; day 13/17)
DEFAULT  2019-10-04 03:15:14,915: Downloading TA_158A 2014-073 (N_S 4/10; day 14/17)
DEFAULT  2019-10-04 03:15:15,501: Downloading TA_158A 2014-074 (N_S 4/10; day 15/17)
DEFAULT  2019-10-04 03:15:16,430: Downloading TA_158A 2014-075 (N_S 4/10; day 16/17)
DEFAULT  2019-10-04 03:15:23,882: Downloading TA_158A 2014-076 (N_S 4/10; day 17/17)
DEFAULT  2019-10-04 03:15:25,124: Downloading TA_214A 2014-060 (N_S 5/10; day 1/17)
DEFAULT  2019-10-04 03:15:27,835: Downloading TA_214A 2014-061 (N_S 5/10; day 2/17)
DEFAULT  2019-10-04 03:15:30,797: Downloading TA_214A 2014-062 (N_S 5/10; day 3/17)
DEFAULT  2019-10-04 03:15:31,407: Downloading TA_214A 2014-063 (N_S 5/10; day 4/17)
DEFAULT  2019-10-04 03:15:31,426: Downloading TA_214A 2014-064 (N_S 5/10; day 5/17)
DEFAULT  2019-10-04 03:15:31,538: Downloading TA_214A 2014-065 (N_S 5/10; day 6/17)
DEFAULT  2019-10-04 03:15:32,466: Downloading TA_214A 2014-066 (N_S 5/10; day 7/17)
DEFAULT  2019-10-04 03:15:32,780: Downloading TA_214A 2014-067 (N_S 5/10; day 8/17)
DEFAULT  2019-10-04 03:15:33,197: Downloading TA_214A 2014-068 (N_S 5/10; day 9/17)
DEFAULT  2019-10-04 03:15:37,173: Downloading TA_214A 2014-069 (N_S 5/10; day 10/17)
DEFAULT  2019-10-04 03:15:37,290: Downloading TA_214A 2014-070 (N_S 5/10; day 11/17)
DEFAULT  2019-10-04 03:15:38,014: Downloading TA_214A 2014-071 (N_S 5/10; day 12/17)
