DEFAULT  2019-10-01 00:15:48,681: ROVER version 1.0.4 - starting retrieve
DEFAULT  2019-10-01 00:15:48,682: Status available at http://127.0.0.1:8000
DEFAULT  2019-10-01 00:15:48,683: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-01 00:15:48,971: Downloading TA_109C 2014-060 (N_S 1/10; day 1/17)
DEFAULT  2019-10-01 00:15:48,980: Downloading TA_109C 2014-061 (N_S 1/10; day 2/17)
DEFAULT  2019-10-01 00:15:48,990: Downloading TA_109C 2014-062 (N_S 1/10; day 3/17)
DEFAULT  2019-10-01 00:15:49,002: Downloading TA_109C 2014-063 (N_S 1/10; day 4/17)
DEFAULT  2019-10-01 00:16:04,275: Downloading TA_109C 2014-064 (N_S 1/10; day 5/17)
DEFAULT  2019-10-01 00:16:05,821: Downloading TA_109C 2014-065 (N_S 1/10; day 6/17)
DEFAULT  2019-10-01 00:16:07,087: Downloading TA_109C 2014-066 (N_S 1/10; day 7/17)
DEFAULT  2019-10-01 00:16:13,480: Downloading TA_109C 2014-067 (N_S 1/10; day 8/17)
DEFAULT  2019-10-01 00:16:25,880: Downloading TA_109C 2014-068 (N_S 1/10; day 9/17)
DEFAULT  2019-10-01 00:16:27,456: Downloading TA_109C 2014-069 (N_S 1/10; day 10/17)
DEFAULT  2019-10-01 00:16:28,593: Downloading TA_109C 2014-070 (N_S 1/10; day 11/17)
DEFAULT  2019-10-01 00:16:37,671: Downloading TA_109C 2014-071 (N_S 1/10; day 12/17)
DEFAULT  2019-10-01 00:16:49,480: Downloading TA_109C 2014-072 (N_S 1/10; day 13/17)
DEFAULT  2019-10-01 00:16:50,415: Downloading TA_109C 2014-073 (N_S 1/10; day 14/17)
DEFAULT  2019-10-01 00:16:51,552: Downloading TA_109C 2014-074 (N_S 1/10; day 15/17)
DEFAULT  2019-10-01 00:16:59,703: Downloading TA_109C 2014-075 (N_S 1/10; day 16/17)
DEFAULT  2019-10-01 00:17:11,344: Downloading TA_109C 2014-076 (N_S 1/10; day 17/17)
DEFAULT  2019-10-01 00:17:12,686: Downloading TA_121A 2014-060 (N_S 2/10; day 1/17)
DEFAULT  2019-10-01 00:17:13,212: Downloading TA_121A 2014-061 (N_S 2/10; day 2/17)
DEFAULT  2019-10-01 00:17:14,048: Downloading TA_121A 2014-062 (N_S 2/10; day 3/17)
DEFAULT  2019-10-01 00:17:20,076: Downloading TA_121A 2014-063 (N_S 2/10; day 4/17)
DEFAULT  2019-10-01 00:17:32,459: Downloading TA_121A 2014-064 (N_S 2/10; day 5/17)
DEFAULT  2019-10-01 00:17:33,391: Downloading TA_121A 2014-065 (N_S 2/10; day 6/17)
DEFAULT  2019-10-01 00:17:34,426: Downloading TA_121A 2014-066 (N_S 2/10; day 7/17)
DEFAULT  2019-10-01 00:17:35,869: Downloading TA_121A 2014-067 (N_S 2/10; day 8/17)
DEFAULT  2019-10-01 00:17:51,234: Downloading TA_121A 2014-068 (N_S 2/10; day 9/17)
DEFAULT  2019-10-01 00:17:52,269: Downloading TA_121A 2014-069 (N_S 2/10; day 10/17)
DEFAULT  2019-10-01 00:17:53,361: Downloading TA_121A 2014-070 (N_S 2/10; day 11/17)
DEFAULT  2019-10-01 00:17:54,192: Downloading TA_121A 2014-071 (N_S 2/10; day 12/17)
DEFAULT  2019-10-01 00:18:07,608: Downloading TA_121A 2014-072 (N_S 2/10; day 13/17)
DEFAULT  2019-10-01 00:18:08,682: Downloading TA_121A 2014-073 (N_S 2/10; day 14/17)
DEFAULT  2019-10-01 00:18:09,521: Downloading TA_121A 2014-074 (N_S 2/10; day 15/17)
DEFAULT  2019-10-01 00:18:10,978: Downloading TA_121A 2014-075 (N_S 2/10; day 16/17)
DEFAULT  2019-10-01 00:18:23,114: Downloading TA_121A 2014-076 (N_S 2/10; day 17/17)
DEFAULT  2019-10-01 00:18:23,944: Downloading TA_157A 2014-060 (N_S 3/10; day 1/17)
DEFAULT  2019-10-01 00:18:24,978: Downloading TA_157A 2014-061 (N_S 3/10; day 2/17)
DEFAULT  2019-10-01 00:18:26,015: Downloading TA_157A 2014-062 (N_S 3/10; day 3/17)
