 81.95900917, 22416.23282433, 22498.19493294
 90.33703804, 21079.89096642, 21170.23301125
 73.56619835, 20897.58801460, 20971.16112709
 70.59693336, 20706.56991005, 20777.17208862
 68.11475754, 20553.24816704, 20621.36864662
 76.03406906, 20704.57911491, 20780.61985970
 69.40722466, 20678.65204811, 20748.06499481
 74.11623001, 20530.78913689, 20604.90798950
 69.81420517, 20996.04487419, 21065.86503983
238.92211914, 21152.35614777, 21391.28422737
 75.73699951, 20931.16116524, 21006.90293312
 77.87489891, 21042.15788841, 21120.03874779
 84.05089378, 20593.05000305, 20677.10685730
 70.32179832, 20561.39898300, 20631.72817230
 69.00310516, 20684.27705765, 20753.28612328
 69.45419312, 20764.96911049, 20834.43021774
 71.80786133, 20803.77912521, 20875.59223175
 75.49214363, 20548.16484451, 20623.66414070
 75.40202141, 20962.02111244, 21037.43100166
 75.71792603, 20848.07395935, 20923.79903793
 71.46286964, 20883.71491432, 20955.18398285
 71.79498672, 20575.03318787, 20646.83318138
 68.93014908, 20470.88003159, 20539.81423378
 69.06390190, 20507.25889206, 20576.32899284
 79.28776741, 20463.01388741, 20542.30785370
 70.38402557, 20452.24809647, 20522.63808250
 68.63927841, 20492.33007431, 20560.97316742
 67.11721420, 20485.74590683, 20552.86812782
 67.77811050, 20503.89409065, 20571.67720795
 65.12093544, 20596.62008286, 20661.74697876
 72.32475281, 20702.52013206, 20774.84989166
 82.20410347, 20484.17496681, 20566.38407707
 69.95201111, 20657.30404854, 20727.26297379
 77.12101936, 21020.00379562, 21097.13292122
 73.49681854, 20921.71311378, 20995.21589279
 83.01091194, 20760.07294655, 20843.08981895
 74.52392578, 20626.45983696, 20700.99091530
 71.04110718, 20591.59922600, 20662.64796257
 71.25878334, 20624.04417992, 20695.30773163
 78.84311676, 20755.20825386, 20834.05685425
 75.76227188, 20743.04103851, 20818.81022453
 77.24881172, 20828.86385918, 20906.11886978
 80.68990707, 20563.60173225, 20644.29593086
 73.11105728, 20565.27686119, 20638.39483261
 74.00512695, 20528.82409096, 20602.83493996
 77.41594315, 20512.54391670, 20589.96486664
 75.47307014, 20545.70913315, 20621.18792534
 78.23395729, 20593.93095970, 20672.17111588
 77.24618912, 20517.40908623, 20594.66218948
 79.15973663, 20558.88199806, 20638.04697990
 75.33502579, 20588.04917336, 20663.39087486
 81.84194565, 20741.88399315, 20823.73189926
 74.88775253, 20779.06417847, 20853.95693779
 74.70107079, 20679.93092537, 20754.63795662
 76.78914070, 20623.44312668, 20700.23989677
 77.90613174, 20786.69595718, 20864.60709572
 69.01884079, 20707.67998695, 20776.70311928
 70.79505920, 20499.75204468, 20570.55282593
 76.30896568, 20497.65396118, 20573.97103310
 78.27711105, 20564.03803825, 20642.32206345
 76.09915733, 20560.86015701, 20636.96527481
 73.48012924, 20599.79009628, 20673.27809334
 72.55387306, 20653.30529213, 20725.86584091
 72.92008400, 20610.39781570, 20683.32409859
 77.49819756, 20597.48983383, 20674.99327660
 75.23918152, 20641.13402367, 20716.37821198
 71.99001312, 20664.05415535, 20736.04869843
 73.59004021, 20666.30101204, 20739.89701271
 74.86510277, 20814.80789185, 20889.67823982
 74.23377037, 21042.38796234, 21116.62912369
 78.73106003, 20973.52480888, 21052.26421356
 77.74400711, 21080.57689667, 21158.32996368
 90.07811546, 21143.51105690, 21233.59823227
 82.21817017, 21149.43385124, 21231.65798187
 81.03299141, 20826.17616653, 20907.21583366
 81.83598518, 20744.23408508, 20826.07603073
 76.00116730, 20799.38006401, 20875.38814545
 79.20837402, 20774.39427376, 20853.60622406
 75.47903061, 21028.42497826, 21103.91092300
 78.57298851, 20874.04203415, 20952.62002945
 73.75311852, 20806.96988106, 20880.72896004
 71.69485092, 20763.84997368, 20835.55102348
 73.65798950, 20663.45095634, 20737.11490631
 75.73604584, 20502.68602371, 20578.42707634
 73.89807701, 20523.12803268, 20597.03207016
 83.37306976, 20511.35396957, 20594.73299980
 76.69305801, 20773.31089973, 20850.01015663
 80.90281487, 21318.68600845, 21399.59502220
 79.14996147, 21134.99784470, 21214.15710449
 77.56114006, 21306.63275719, 21384.20104980
 71.47288322, 21331.25901222, 21402.73880959
 72.78084755, 21039.18623924, 21111.97376251
 80.11412621, 21102.94222832, 21183.06088448
 74.85008240, 21093.88494492, 21168.74217987
 75.47426224, 21200.48522949, 21275.96521378
 79.40196991, 21960.50190926, 22039.91103172
 81.91823959, 21964.53499794, 22046.45824432
 79.21099663, 21335.81900597, 21415.03477097
 71.03109360, 21179.44502831, 21250.48303604
 74.36060905, 21176.63693428, 21251.00493431
